evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
"usp2023guqn";2023-04-07T16:16:37.616Z;-48.511;-21.275;0.0;2.1;"mR";"Monte Alto/SP";"cleusa";M
"usp2023gstj";2023-04-06T15:27:03.872Z;-40.581;-3.827;0.0;1.9;"mR";"Carire/CE";"jroberto";M
"usp2023gsbm";2023-04-06T06:24:19.393Z;-48.506;-21.343;0.0;1.7;"mR";"Monte Alto/SP";"bruno";M
"usp2023grlf";2023-04-05T22:11:04.356Z;-48.537;-21.314;0.0;2.1;"mR";"Monte Alto/SP";"bruno";M
"usp2023grdv";2023-04-05T18:27:54.784Z;-48.516;-21.249;0.0;2.3;"mR";"Monte Alto/SP";"bruno";M
"usp2023gqfu";2023-04-05T06:19:28.719Z;-71.617;-9.462;560.0;5.1;"mb";"Peru-Brazil Border Region";"jroberto";M
"usp2023gkvt";2023-04-02T07:33:49.943Z;-48.599;-20.969;0.0;2.2;"mR";"MonteA.Paulista/rg.zona rural";"jroberto";M
"usp2023gjog";2023-04-01T14:38:45.744Z;-48.609;-20.984;0.0;2.3;"mR";"MonteA.Paulista/rg.zona rural";"jroberto";M
"usp2023gjfn";2023-04-01T10:13:37.835Z;-39.820;-14.097;0.0;2.1;"mR";"Aiquara/BA";"jroberto";M
"usp2023ggbh";2023-03-30T16:40:58.003Z;-36.415;-8.816;0.0;2.3;"mR";"Sao Joao/PE";"jroberto";M
"usp2023gcgy";2023-03-28T14:59:09.008Z;-36.743;-9.710;0.0;2.0;"mR";"Arapiraca/AL";"jroberto";M
"usp2023fuyl";2023-03-24T14:44:32.077Z;-40.516;-3.827;0.0;1.6;"mR";"Carire/CE";"jroberto";M
"usp2023fuxs";2023-03-24T14:23:14.860Z;-48.384;-20.157;0.0;2.4;"mR";"Guaira/SP";"jroberto";M
"usp2023fuab";2023-03-24T02:26:07.000Z;-48.480;-21.280;0.0;2.1;"M";"Monte Alto/SP";"marcelo";M
"usp2023fodx";2023-03-20T21:33:52.000Z;-38.782;-13.399;0.0;2.8;"mR";"Plataf.Cont.rg. de Valença/BA";"jroberto";M
"usp2023fljh";2023-03-19T08:51:37.605Z;-41.728;-13.156;0.0;2.9;"mR";"Piata/BA";"jroberto";M
"usp2023fkun";2023-03-19T01:23:37.671Z;-44.362;-3.439;0.0;2.6;"mR";"Itapecuru Mirim/MA";"jroberto";M
"usp2023fjdo";2023-03-18T03:41:49.452Z;-73.101;-10.102;56.0;4.0;"mb";"Central Peru";"jroberto";M
"usp2023fimo";2023-03-17T19:06:26.381Z;-39.325;-11.359;0.0;2.2;"mR";"Queimadas/BA";"jroberto";M
"usp2023fhlt";2023-03-17T05:34:07.160Z;-40.532;-3.565;0.0;1.4;"mR";"Alcantaras/CE";"jroberto";M
"usp2023fhdb";2023-03-17T01:11:07.973Z;-40.530;-3.236;0.0;2.3;"MLv";"Uruoca/CE";"jroberto";M
"usp2023fcrv";2023-03-14T14:57:18.248Z;-48.665;-21.063;0.0;2.2;"mR";"Pirangi/SP";"jroberto";M
"usp2023fcfe";2023-03-14T08:34:12.000Z;-48.665;-21.091;0.0;0.8;"MLv";"Pirangi/SP";"jroberto";M
"usp2023fcbr";2023-03-14T06:47:20.528Z;-48.508;-21.292;0.0;2.0;"mR";"Monte Alto/SP";"bruno";M
"usp2023fcbq";2023-03-14T06:46:21.151Z;-48.486;-21.308;0.0;2.2;"mR";"Monte Alto/SP";"bruno";M
"usp2023exnz";2023-03-11T19:19:43.801Z;-39.521;-3.918;0.0;2.6;"mR";"Tejucuoca/CE";"jroberto";M
"usp2023evko";2023-03-10T15:20:29.857Z;-39.425;-10.791;0.0;2.2;"mR";"Nordestina/BA";"jroberto";M
"usp2023evjz";2023-03-10T15:02:54.017Z;-36.806;-9.704;0.0;2.3;"MLv";"Craibas/AL";"jroberto";M
"usp2023elly";2023-03-05T04:40:01.936Z;-43.125;-19.059;0.0;2.1;"mR";"Carmesia/MG";"jroberto";M
"usp2023eezz";2023-03-01T15:48:14.838Z;-40.469;-3.677;0.0;2.4;"mR";"Alcantaras/CE";"jroberto";M
"usp2023ediq";2023-02-28T17:54:21.880Z;-44.229;-13.481;0.0;2.8;"mR";"Sao Felix do Coribe/BA";"jroberto";M
"usp2023ebwf";2023-02-27T22:30:27.039Z;-44.247;-13.495;0.0;3.4;"mR";"Sao Felix do Coribe/BA";"marcelo";M
"usp2023ebno";2023-02-27T18:07:52.987Z;-40.662;-3.808;0.0;1.9;"mR";"Mucambo/CE";"jroberto";M
"usp2023easc";2023-02-27T07:17:09.083Z;-40.544;-3.589;0.0;1.8;"mR";"Alcantaras/CE";"jroberto";M
"usp2023dzxo";2023-02-26T20:54:44.068Z;-38.343;-12.695;0.0;1.9;"mR";"Camacari/BA";"jroberto";M
"usp2023dydb";2023-02-25T21:24:24.822Z;-40.554;-16.368;0.0;2.4;"mR";"Rubim/MG";"jroberto";M
"usp2023duta";2023-02-24T00:56:29.012Z;-40.596;-11.206;0.0;2.4;"mR";"Jacobina/BA";"jroberto";M
"usp2023dqqu";2023-02-21T19:16:29.627Z;-39.004;-14.113;0.0;2.2;"mR";"Marau/BA";"jroberto";M
"usp2023dqqq";2023-02-21T19:11:20.536Z;-38.975;-14.080;0.0;2.1;"mR";"Marau/BA";"jroberto";M
"usp2023dgzn";2023-02-16T12:18:37.000Z;-40.546;-16.457;0.0;3.4;"mR";"Rubim/MG";"marcelo";M
"usp2023dfjt";2023-02-15T15:12:31.825Z;-36.562;-10.083;0.0;2.3;"mR";"Igreja Nova/AL";"jroberto";M
"usp2023dfhp";2023-02-15T14:07:14.026Z;-36.473;-10.168;0.0;2.5;"mR";"Penedo/AL";"jroberto";M
"usp2023dfej";2023-02-15T12:29:45.037Z;-36.547;-10.095;0.0;2.0;"mR";"Igreja Nova/AL";"jroberto";M
"usp2023dcca";2023-02-13T19:53:58.772Z;-40.513;-11.260;0.0;1.9;"mR";"Jacobina/BA";"jroberto";M
"usp2023ctzh";2023-02-09T09:26:20.037Z;-35.130;-5.038;0.0;2.2;"mR";"Plataf.Cont.-Rio do Fogo/RN";"jroberto";M
"usp2023crrs";2023-02-08T03:19:48.898Z;-36.050;-8.361;0.0;2.0;"mR";"Sao Caitano/PE";"jroberto";M
"usp2023cqgz";2023-02-07T08:46:31.817Z;-44.583;-22.140;0.0;2.5;"mR";"Alagoa/MG";"jroberto";M
"usp2023cnyv";2023-02-06T02:23:26.782Z;-48.631;-21.095;0.0;2.4;"mR";"Pirangi/SP";"jroberto";M
"usp2023cnns";2023-02-05T20:45:37.362Z;-40.517;-11.278;0.0;2.4;"mR";"Jacobina/BA";"jroberto";M
"usp2023ckog";2023-02-04T05:37:37.085Z;-48.496;-21.268;0.0;2.3;"mR";"Monte Alto/SP";"jroberto";M
"usp2023ciqc";2023-02-03T04:17:54.425Z;-60.051;-16.465;0.0;3.2;"mR";"Central Bolivia";"jroberto";M
"usp2023cgai";2023-02-01T18:03:27.753Z;-40.207;-3.974;0.0;2.2;"mR";"Forquilha/CE";"jroberto";M
"usp2023cett";2023-02-01T01:35:35.559Z;-46.699;-21.669;0.0;2.9;"mR";"Divinolandia/SP";"bruno";M
"usp2023ccsh";2023-01-30T22:35:18.952Z;-50.181;-21.234;0.0;2.4;"mR";"Brejo Alegre/SP";"jroberto";M
"usp2023cbil";2023-01-30T04:28:48.821Z;-56.549;-18.962;0.0;3.2;"mR";"Ladario/MS";"jroberto";M
"usp2023burp";2023-01-26T13:08:32.826Z;-48.591;-20.989;0.0;2.2;"mR";"MonteA.Paulista/rg.zona rural";"jroberto";M
"usp2023bpis";2023-01-23T14:58:14.423Z;-45.659;-20.343;0.0;2.6;"mR";"Pains/MG";"jroberto";M
"usp2023bozo";2023-01-23T10:20:42.000Z;-48.512;-21.282;0.0;2.0;"mR";"Monte Alto/SP";"jroberto";M
"usp2023boke";2023-01-23T02:34:49.219Z;-50.072;-6.401;0.0;3.9;"mR";"Canaa dos Carajas/PA";"marcelo";M
"usp2023bkzx";2023-01-21T05:58:28.930Z;-44.127;-21.090;0.0;1.9;"mR";"Tiradentes/MG";"cleusa";M
"usp2023bkxo";2023-01-21T04:48:12.039Z;-44.176;-21.010;0.0;2.5;"mR";"Tiradentes/MG";"marcelo";M
"usp2023bkwg";2023-01-21T04:08:27.000Z;-44.125;-21.096;0.0;3.0;"mR";"Tiradentes/MG";"marcelo";M
"usp2023bdzv";2023-01-17T09:59:25.165Z;-71.253;-8.095;639.0;4.4;"mb";"Reg. de Tarauacá/AC";"cleusa";M
"usp2023bcti";2023-01-16T17:33:54.743Z;-40.447;-11.316;0.0;2.4;"MLv";"Jacobina/BA";"jroberto";M
"usp2023avrv";2023-01-12T20:51:50.720Z;-40.148;-3.920;0.0;2.1;"mR";"Forquilha/CE";"jroberto";M
"usp2023avgv";2023-01-12T15:18:18.078Z;-47.786;-17.969;0.0;2.4;"mR";"Catalao/GO";"jroberto";M
"usp2023asbq";2023-01-10T21:15:55.816Z;-56.207;-20.396;0.0;2.1;"mR";"Miranda/MS";"jroberto";M
"usp2023apuo";2023-01-09T15:26:08.681Z;-40.293;-7.622;0.0;2.2;"mR";"Trindade/PE";"jroberto";M
"usp2023akhc";2023-01-06T14:56:07.770Z;-39.324;-10.971;0.0;2.0;"mR";"Nordestina/BA";"jroberto";M
"usp2023ajns";2023-01-06T05:09:22.841Z;-39.824;-9.855;0.0;2.4;"mR";"Uaua/BA";"jroberto";M
"usp2023agjs";2023-01-04T11:42:47.000Z;-43.980;-19.731;0.0;2.7;"mR";"Sao Jose da Lapa/MG";"marcelo";M
"usp2023aaav";2023-01-01T00:24:38.942Z;-46.610;-25.363;0.0;2.6;"mR";"Plataf.Continental SP/PR";"jroberto";M
